Команда (HEX);Размер параметра команды (DEC);Тип параметра команды;Значения параметра команды (DEC);Описание команды;Размер параметра ответа (DEC);Тип параметра ответа;Значения параметра ответа (DEC);Описание ответа;Комментарии
13;;;;Звуковой сигнал;;;;Звуковой сигнал;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
16;;;;Технологическое обнуление;;;;Технологическое обнуление;
;4;password;;пароль оператора;2;error#;;код ошибки;
21;;;;Программирование времени;;;;Программирование времени;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;number;;Время ЧЧ;1;number;;порядковый номер оператора;
;1;number;;Время ММ;;;;;
;1;number;;Время СС;;;;;
22;;;;Программирование даты;;;;Программирование даты;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;number;;Время ДД;1;number;;порядковый номер оператора;
;1;number;;Время ММ;;;;;
;1;number;;Время ГГ;;;;;
23;;;;Подтверждение программирования даты;;;;Подтверждение программирования даты;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;number;;Время ДД;1;number;;порядковый номер оператора;
;1;number;;Время ММ;;;;;
;1;number;;Время ГГ;;;;;
25;;;;Отрезка чека;;;;Отрезка чека;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;number;;Тип отреза: ;1;number;;порядковый номер оператора;
;;;0;полный;;;;;
;;;1;неполный;;;;;
28;;;;Открыть денежный ящик;;;;Открыть денежный ящик;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;number;;Номер денежного ящика: ;1;number;;порядковый номер оператора;
;;;0;0;;;;;
;;;1;1;;;;;
29;;;;Протяжка бумаги;;;;Протяжка бумаги;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;bitfield;;Флаги;1;number;;порядковый номер оператора;
;;;;Бит 0 - контрольная лента;;;;;
;;;;Бит 1 - проверочная лента;;;;;
;;;;Бит 2 - подкладной документ;;;;;
;;;;Бит 3 - не используется;;;;;
;;;;Бит 4 - не используется;;;;;
;;;;Бит 5 - не используется;;;;;
;;;;Бит 6 - не используется;;;;;
;;;;Бит 7 - не используется;;;;;
;1;number;;Число строк [1 ... 255];;;;;
40;;;;Промежуточный суточный отчет без закрытия смены;;;;Промежуточный суточный отчет без закрытия смены;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
41;;;;Закрытие смены;;;;Закрытие смены;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
50;;;;Внесение;;;;Внесение;
;4;password;;пароль оператора;2;error#;;код ошибки;
;5;money;;Сумма;1;number;;порядковый номер оператора;
;;;;;2;number;;Сквозной номер документа;
51;;;;Выплата;;;;Выплата;
;4;password;;пароль оператора;2;error#;;код ошибки;
;5;money;;Сумма;1;number;;порядковый номер оператора;
;;;;;2;number;;Сквозной номер документа;
80;;;;Приход;;;;Приход;
;4;password;;пароль оператора;2;error#;;код ошибки;
;5;quantity;;Количество;1;number;;порядковый номер оператора;
;5;money;;Цена;;;;;
;1;number;;Номер отдела;;;;;
;40;string;;Текст;;;;;
81;;;;Расход;;;;Расход;
;4;password;;пароль оператора;2;error#;;код ошибки;
;5;quantity;;Количество;1;number;;порядковый номер оператора;
;5;money;;Цена;;;;;
;1;number;;Номер отдела;;;;;
;40;string;;Текст;;;;;
82;;;;Возврат прихода;;;;Возврат прихода;
;4;password;;пароль оператора;2;error#;;код ошибки;
;5;quantity;;Количество;1;number;;порядковый номер оператора;
;5;money;;Цена;;;;;
;1;number;;Номер отдела;;;;;
;40;string;;Текст;;;;;
83;;;;Возврат расхода;;;;Возврат расхода;
;4;password;;пароль оператора;2;error#;;код ошибки;
;5;quantity;;Количество;1;number;;порядковый номер оператора;
;5;money;;Цена;;;;;
;1;number;;Номер отдела;;;;;
;40;string;;Текст;;;;;
84;;;;Сторно;;;;Сторно;
;4;password;;пароль оператора;2;error#;;код ошибки;
;5;quantity;;Количество;1;number;;порядковый номер оператора;
;5;money;;Цена;;;;;
;1;number;;Номер отдела;;;;;
;40;string;;Текст;;;;;
85;;;;Закрытие чека;;;;Закрытие чека;
;4;password;;пароль оператора;2;error#;;код ошибки;
